GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
283635	2.88e-09	4.86e-10	0.219	-6.223459	-1.361799	583.47	FAM177A1	family with sequence similarity 177 member A1
285367	2.89e-09	4.89e-10	0.322	6.222675	2.005759	25.57	RPUSD3	RNA pseudouridine synthase D3
205	2.89e-09	4.89e-10	0.429	6.222494	2.669559	23.11	AK4	adenylate kinase 4
2533	2.89e-09	4.89e-10	0.188	-6.222445	-1.168913	8515.14	FYB1	FYN binding protein 1
26959	2.89e-09	4.90e-10	0.189	-6.222408	-1.176916	456.47	HBP1	HMG-box transcription factor 1
120406	2.91e-09	4.93e-10	0.464	6.22146	2.883752	17.96	NXPE2	neurexophilin and PC-esterase domain family member 2
107987097	2.92e-09	4.94e-10	0.414	6.221099	2.577987	13.39	LOC107987097	uncharacterized LOC107987097
8293	2.92e-09	4.95e-10	0.287	6.220762	1.788438	12.51	SERF1A	small EDRK-rich factor 1A
10554	2.92e-09	4.96e-10	0.247	-6.220501	-1.538463	2106.12	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1
56658	3.01e-09	5.11e-10	0.35	6.215708	2.175126	12.06	TRIM39	tripartite motif containing 39
146857	3.04e-09	5.15e-10	0.31	6.214451	1.925424	36.27	SLFN13	schlafen family member 13
7539	3.05e-09	5.17e-10	0.442	6.213759	2.745172	11.07	ZFP37	ZFP37 zinc finger protein
1773	3.08e-09	5.23e-10	0.287	6.212121	1.783998	32.04	DNASE1	deoxyribonuclease 1
2207	3.09e-09	5.25e-10	0.252	-6.211586	-1.56254	8193.71	FCER1G	Fc epsilon receptor Ig
105376026	3.09e-09	5.25e-10	0.368	-6.211512	-2.287767	21.8	LOC105376026	uncharacterized LOC105376026
8805	3.10e-09	5.26e-10	0.189	-6.211037	-1.172092	134.89	TRIM24	tripartite motif containing 24
343099	3.10e-09	5.27e-10	0.168	-6.210701	-1.045367	460.7	CCDC18	coiled-coil domain containing 18
84874	3.17e-09	5.39e-10	0.418	6.207422	2.594749	29.63	ZNF514	zinc finger protein 514
10417	3.23e-09	5.49e-10	0.409	6.204341	2.53512	16.61	SPON2	spondin 2
653464	3.23e-09	5.50e-10	0.165	-6.204067	-1.026305	118.02	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C
24	3.27e-09	5.56e-10	0.467	6.202307	2.897724	13.62	ABCA4	ATP binding cassette subfamily A member 4
100874253	3.29e-09	5.61e-10	0.228	-6.201007	-1.413822	557.28	LINC00853	long intergenic non-protein coding RNA 853
8227	3.29e-09	5.61e-10	0.331	6.201053	2.052715	18.42	AKAP17A	A-kinase anchoring protein 17A
728734	3.32e-09	5.67e-10	0.35	6.199468	2.172298	11.69	NPIPB8	nuclear pore complex interacting protein family member B8
105374333	3.33e-09	5.68e-10	0.242	-6.199037	-1.497453	43.91	LOC105374333	uncharacterized LOC105374333
1663	3.35e-09	5.71e-10	0.374	6.198104	2.320119	13.68	DDX11	DEAD/H-box helicase 11
101929200	3.39e-09	5.79e-10	0.402	6.196172	2.489128	11.57	LOC101929200	uncharacterized LOC101929200
23666	3.39e-09	5.78e-10	0.222	-6.1962	-1.374441	178.84	UBBP4	ubiquitin B pseudogene 4
107985219	3.41e-09	5.82e-10	0.194	-6.19516	-1.20268	12.81	LOC107985219	uncharacterized LOC107985219
4299	3.41e-09	5.83e-10	0.161	-6.194989	-0.994512	194.78	AFF1	ALF transcription elongation factor 1
84678	3.45e-09	5.90e-10	0.302	6.193116	1.871122	28.38	KDM2B	lysine demethylase 2B
145957	3.47e-09	5.94e-10	0.35	6.192009	2.169343	57.5	NRG4	neuregulin 4
7024	3.54e-09	6.05e-10	0.329	6.189014	2.036452	25.06	TFCP2	transcription factor CP2
8848	3.58e-09	6.13e-10	0.23	-6.187012	-1.422656	24309.75	TSC22D1	TSC22 domain family member 1
105369456	3.59e-09	6.14e-10	0.528	6.186674	3.265842	23.31	LOC105369456	uncharacterized LOC105369456
9231	3.61e-09	6.19e-10	0.4	6.185641	2.472737	17.65	DLG5	discs large MAGUK scaffold protein 5
101929028	3.63e-09	6.22e-10	0.505	6.1847	3.121234	15.67	LOC101929028	uncharacterized LOC101929028
10038	3.63e-09	6.22e-10	0.322	6.184714	1.989472	21.32	PARP2	poly(ADP-ribose) polymerase 2
5867	3.63e-09	6.23e-10	0.257	-6.184464	-1.589843	4091.63	RAB4A	RAB4A, member RAS oncogene family
101928045	3.63e-09	6.23e-10	0.339	6.184453	2.096303	13.47	LOC101928045	uncharacterized LOC101928045
56888	3.65e-09	6.26e-10	0.208	-6.183631	-1.285008	167.61	KCMF1	potassium channel modulatory factor 1
11043	3.65e-09	6.27e-10	0.453	6.183412	2.804048	21.75	MID2	midline 2
2811	3.66e-09	6.30e-10	0.203	-6.1828	-1.254473	1367.71	GP1BA	glycoprotein Ib platelet subunit alpha
8605	3.68e-09	6.33e-10	0.225	-6.181885	-1.392262	172.8	PLA2G4C	phospholipase A2 group IVC
104472715	3.70e-09	6.36e-10	0.242	-6.18118	-1.497795	2953.08	SNHG14	small nucleolar RNA host gene 14
55000	3.70e-09	6.36e-10	0.17	-6.181219	-1.047757	476.95	TUG1	taurine up-regulated 1
283663	3.71e-09	6.40e-10	0.337	6.180335	2.080174	39.9	LINC00926	long intergenic non-protein coding RNA 926
440672	3.73e-09	6.42e-10	0.207	-6.17969	-1.276698	91.73	NUDT4B	nudix hydrolase 4B
285267	3.74e-09	6.44e-10	0.41	6.179289	2.531095	11.62	ZNF619	zinc finger protein 619
3241	3.74e-09	6.46e-10	0.23	-6.178821	-1.420433	135.32	HPCAL1	hippocalcin like 1
140690	3.74e-09	6.46e-10	0.498	6.178745	3.079353	23.17	CTCFL	CCCTC-binding factor like
3927	3.76e-09	6.49e-10	0.17	-6.177975	-1.04799	264.54	LASP1	LIM and SH3 protein 1
58533	3.80e-09	6.55e-10	0.178	-6.176486	-1.098913	795.02	SNX6	sorting nexin 6
921	3.83e-09	6.62e-10	0.412	6.175019	2.546123	30.72	CD5	CD5 molecule
6660	3.94e-09	6.81e-10	0.438	6.170374	2.701103	33.89	SOX5	SRY-box transcription factor 5
80324	3.94e-09	6.81e-10	0.425	6.170333	2.624983	12.49	PUS1	pseudouridine synthase 1
9406	3.96e-09	6.84e-10	0.211	6.169641	1.300494	157.74	ZRANB2	zinc finger RANBP2-type containing 2
113	3.99e-09	6.90e-10	0.326	6.168414	2.008444	36.8	ADCY7	adenylate cyclase 7
8809	4.04e-09	6.99e-10	0.386	6.166394	2.378339	15.47	IL18R1	interleukin 18 receptor 1
101927547	4.07e-09	7.04e-10	0.462	6.16515	2.848188	9.49	ANKRD44-IT1	ANKRD44 intronic transcript 1
2720	4.16e-09	7.22e-10	0.195	-6.161253	-1.203573	172.69	GLB1	galactosidase beta 1
57605	4.16e-09	7.21e-10	0.227	-6.161308	-1.40095	197.67	PITPNM2	phosphatidylinositol transfer protein membrane associated 2
2683	4.17e-09	7.24e-10	0.167	-6.160785	-1.029533	344.33	B4GALT1	beta-1,4-galactosyltransferase 1
728411	4.18e-09	7.26e-10	0.381	6.160341	2.344288	30.28	GUSBP1	GUSB pseudogene 1
6571	4.21e-09	7.31e-10	0.23	-6.15922	-1.418399	482.73	SLC18A2	solute carrier family 18 member A2
84629	4.23e-09	7.34e-10	0.306	6.158619	1.884728	12.37	TNRC18	trinucleotide repeat containing 18
105379326	4.25e-09	7.39e-10	0.431	6.157478	2.651838	13.53	LOC105379326	
93655	4.29e-09	7.46e-10	0.241	-6.156086	-1.481271	65.47	ST7-OT3	ST7 overlapping transcript 3
6648	4.31e-09	7.49e-10	0.219	-6.155351	-1.345497	7963.8	SOD2	superoxide dismutase 2
7132	4.31e-09	7.49e-10	0.376	6.155328	2.315236	24.22	TNFRSF1A	TNF receptor superfamily member 1A
84131	4.31e-09	7.50e-10	0.319	6.155109	1.961937	73.51	CEP78	centrosomal protein 78
101927957	4.31e-09	7.51e-10	0.419	6.155005	2.577854	15.36	LINC01572	long intergenic non-protein coding RNA 1572
54521	4.31e-09	7.51e-10	0.177	-6.154902	-1.090344	597.78	WDR44	WD repeat domain 44
439949	4.32e-09	7.52e-10	0.219	6.154671	1.346405	84.66	PRKCQ-AS1	PRKCQ antisense RNA 1
100847079	4.33e-09	7.55e-10	0.2	-6.154037	-1.23132	55.85	MIR5193	microRNA 5193
58508	4.34e-09	7.58e-10	0.133	-6.153554	-0.816578	738.09	KMT2C	lysine methyltransferase 2C
1996	4.38e-09	7.65e-10	0.478	6.152094	2.942537	10.46	ELAVL4	ELAV like RNA binding protein 4
148213	4.39e-09	7.66e-10	0.356	6.151854	2.187843	15.23	ZNF681	zinc finger protein 681
51176	4.39e-09	7.67e-10	0.383	6.151592	2.354972	120.03	LEF1	lymphoid enhancer binding factor 1
124817	4.43e-09	7.75e-10	0.202	-6.150031	-1.240474	375.12	CNTD1	cyclin N-terminal domain containing 1
2219	4.44e-09	7.75e-10	0.29	6.149908	1.785634	480.49	FCN1	ficolin 1
4208	4.48e-09	7.83e-10	0.156	-6.148364	-0.959671	1031.76	MEF2C	myocyte enhancer factor 2C
143458	4.48e-09	7.83e-10	0.266	-6.148303	-1.637098	50.36	LDLRAD3	low density lipoprotein receptor class A domain containing 3
79864	4.51e-09	7.89e-10	0.338	6.147062	2.079238	18.21	JHY	junctional cadherin complex regulator
51361	4.57e-09	7.99e-10	0.402	6.145091	2.473029	19.77	HOOK1	hook microtubule tethering protein 1
7627	4.60e-09	8.06e-10	0.372	6.143768	2.285568	35.41	ZNF75A	zinc finger protein 75a
2775	4.61e-09	8.07e-10	0.22	-6.143558	-1.348756	204.67	GNAO1	G protein subunit alpha o1
10553	4.61e-09	8.09e-10	0.268	-6.143225	-1.649084	1299.08	HTATIP2	HIV-1 Tat interactive protein 2
641638	4.66e-09	8.17e-10	0.188	-6.141533	-1.151941	723.99	SNHG6	small nucleolar RNA host gene 6
27079	4.69e-09	8.22e-10	0.438	6.140629	2.688275	14.19	RPUSD2	RNA pseudouridine synthase domain containing 2
51104	4.71e-09	8.26e-10	0.285	6.139814	1.750177	26.93	ABHD17B	abhydrolase domain containing 17B, depalmitoylase
24145	4.71e-09	8.28e-10	0.213	-6.139554	-1.309288	813.18	PANX1	pannexin 1
730183	4.71e-09	8.28e-10	0.267	-6.139523	-1.640127	37.84	LOC730183	uncharacterized LOC730183
2776	4.76e-09	8.37e-10	0.173	-6.137749	-1.059815	1518.52	GNAQ	G protein subunit alpha q
6404	4.77e-09	8.39e-10	0.237	6.13732	1.45609	206.49	SELPLG	selectin P ligand
440434	4.77e-09	8.39e-10	0.239	-6.137435	-1.466502	88.02	NPEPPSP1	NPEPPS pseudogene 1
6612	4.77e-09	8.39e-10	0.21	-6.137324	-1.288697	1517.21	SUMO3	small ubiquitin like modifier 3
64745	4.77e-09	8.41e-10	0.363	6.137044	2.230376	26.07	METTL17	methyltransferase like 17
3609	4.77e-09	8.41e-10	0.219	6.137029	1.341672	100.95	ILF3	interleukin enhancer binding factor 3
8334	4.82e-09	8.49e-10	0.237	-6.135395	-1.455821	13045.62	H2AC6	H2A clustered histone 6
10260	4.82e-09	8.50e-10	0.163	-6.135341	-1.001581	429.42	DENND4A	DENN domain containing 4A
5358	4.82e-09	8.49e-10	0.254	-6.135446	-1.556197	69.76	PLS3	plastin 3
114899	4.82e-09	8.51e-10	0.364	6.135201	2.231616	10.92	C1QTNF3	C1q and TNF related 3
145483	4.83e-09	8.52e-10	0.211	6.134868	1.297501	21.72	FAM161B	FAM161 centrosomal protein B
6328	4.87e-09	8.59e-10	0.411	6.133614	2.522678	30.6	SCN3A	sodium voltage-gated channel alpha subunit 3
6102	4.87e-09	8.61e-10	0.255	-6.133328	-1.564283	143.52	RP2	RP2 activator of ARL3 GTPase
388011	4.91e-09	8.67e-10	0.366	6.132117	2.247065	42.23	LINC01550	long intergenic non-protein coding RNA 1550
64344	4.94e-09	8.72e-10	0.413	6.131172	2.532651	16.6	HIF3A	hypoxia inducible factor 3 subunit alpha
23414	4.96e-09	8.77e-10	0.376	6.130245	2.304804	22.76	ZFPM2	zinc finger protein, FOG family member 2
324	4.97e-09	8.79e-10	0.215	6.129948	1.316719	84.83	APC	APC regulator of WNT signaling pathway
112268058	5.00e-09	8.84e-10	0.332	6.129008	2.035873	16.43	LOC112268058	
23195	5.03e-09	8.90e-10	0.314	6.127899	1.92684	129.57	MDN1	midasin AAA ATPase 1
10718	5.06e-09	8.96e-10	0.485	6.126845	2.972432	20.54	NRG3	neuregulin 3
1837	5.07e-09	8.98e-10	0.418	6.126517	2.562349	34.51	DTNA	dystrobrevin alpha
54874	5.09e-09	9.03e-10	0.199	-6.125675	-1.218238	359.56	FNBP1L	formin binding protein 1 like
146722	5.15e-09	9.13e-10	0.346	6.123877	2.118144	28.14	CD300LF	CD300 molecule like family member f
925	5.19e-09	9.21e-10	0.385	6.122555	2.355871	35.17	CD8A	CD8a molecule
374383	5.21e-09	9.25e-10	0.458	6.121827	2.806754	16.22	NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1
3643	5.21e-09	9.25e-10	0.299	6.121793	1.831875	61.22	INSR	insulin receptor
105374942	5.21e-09	9.26e-10	0.386	6.121705	2.365576	30.09	LOC105374942	uncharacterized LOC105374942
348645	5.23e-09	9.30e-10	0.401	6.120946	2.455667	17.44	MIR3667HG	MIR3667 host gene
4289	5.28e-09	9.38e-10	0.156	-6.119617	-0.954792	287.25	MKLN1	muskelin 1
55553	5.29e-09	9.41e-10	0.4	6.11918	2.447699	27.92	SOX6	SRY-box transcription factor 6
57099	5.33e-09	9.48e-10	0.38	6.117934	2.322393	20.94	AVEN	apoptosis and caspase activation inhibitor
644285	5.33e-09	9.49e-10	0.488	6.117761	2.983059	11.78	LOC644285	uncharacterized LOC644285
170688	5.34e-09	9.51e-10	0.207	-6.117413	-1.264173	81.68	NUDT4P2	nudix hydrolase 4 pseudogene 2
63899	5.34e-09	9.52e-10	0.332	6.117246	2.028889	33.96	NSUN3	NOP2/Sun RNA methyltransferase 3
1286	5.35e-09	9.54e-10	0.386	6.116909	2.36108	30.24	COL4A4	collagen type IV alpha 4 chain
10200	5.38e-09	9.60e-10	0.311	6.115919	1.90189	24.64	MPHOSPH6	M-phase phosphoprotein 6
649395	5.39e-09	9.62e-10	0.232	-6.115625	-1.418708	116.83	YWHAEP1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 1
283149	5.45e-09	9.72e-10	0.327	6.113873	2.00122	18.86	BCL9L	BCL9 like
10965	5.45e-09	9.74e-10	0.359	6.113651	2.193289	11.14	ACOT2	acyl-CoA thioesterase 2
56477	5.48e-09	9.78e-10	0.374	6.112952	2.287281	14.86	CCL28	C-C motif chemokine ligand 28
4781	5.49e-09	9.80e-10	0.208	-6.112556	-1.270536	636.05	NFIB	nuclear factor I B
4567	5.49e-09	9.80e-10	0.221	-6.112568	-1.350141	25228.19	TRNL1	tRNA-Leu
54847	5.50e-09	9.84e-10	0.205	-6.111983	-1.250028	103.54	SIDT1	SID1 transmembrane family member 1
64328	5.53e-09	9.90e-10	0.32	6.111067	1.958258	63.34	XPO4	exportin 4
128102	5.57e-09	9.97e-10	0.501	6.109813	3.059905	16.83	HSD3BP4	hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4
65260	5.60e-09	1.00e-09	0.409	6.108946	2.499117	14.05	COA7	cytochrome c oxidase assembly factor 7
10791	5.62e-09	1.01e-09	0.185	-6.108336	-1.131934	142.27	VAMP5	vesicle associated membrane protein 5
10329	5.62e-09	1.01e-09	0.336	6.108252	2.050927	16.94	RXYLT1	ribitol xylosyltransferase 1
9985	5.64e-09	1.01e-09	0.345	6.107682	2.10561	12.01	REC8	REC8 meiotic recombination protein
2275	5.69e-09	1.02e-09	0.347	-6.106253	-2.118134	64.71	FHL3	four and a half LIM domains 3
8273	5.71e-09	1.02e-09	0.245	-6.105634	-1.494382	621.61	SLC10A3	solute carrier family 10 member 3
2900	5.72e-09	1.03e-09	0.381	6.105131	2.327675	16.69	GRIK4	glutamate ionotropic receptor kainate type subunit 4
390110	5.74e-09	1.03e-09	0.259	-6.104668	-1.578918	164.55	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
84636	5.75e-09	1.03e-09	0.423	6.104326	2.580037	26.02	GPR174	G protein-coupled receptor 174
5178	5.84e-09	1.05e-09	0.466	6.101646	2.845006	16.81	PEG3	paternally expressed 3
119016	5.90e-09	1.06e-09	0.332	6.099923	2.026179	8.58	AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4
10787	5.90e-09	1.06e-09	0.181	-6.099845	-1.106433	410.61	NCKAP1	NCK associated protein 1
10907	5.93e-09	1.07e-09	0.257	-6.099154	-1.566793	63.19	TXNL4A	thioredoxin like 4A
9414	5.97e-09	1.07e-09	0.217	-6.098005	-1.320411	316.02	TJP2	tight junction protein 2
91603	5.97e-09	1.08e-09	0.372	6.097835	2.26856	33.57	ZNF830	zinc finger protein 830
80095	5.97e-09	1.07e-09	0.268	6.0979	1.631553	20.21	ZNF606	zinc finger protein 606
2104	6.01e-09	1.08e-09	0.483	6.096647	2.947112	20.07	ESRRG	estrogen related receptor gamma
23245	6.05e-09	1.09e-09	0.433	6.095555	2.641843	18.73	ASTN2	astrotactin 2
3490	6.06e-09	1.09e-09	0.226	6.095078	1.379487	12.78	IGFBP7	insulin like growth factor binding protein 7
1241	6.07e-09	1.10e-09	0.376	6.094815	2.290826	11.73	LTB4R	leukotriene B4 receptor
54953	6.07e-09	1.10e-09	0.296	6.09469	1.803382	37.49	ODR4	odr-4 GPCR localization factor homolog
23446	6.09e-09	1.10e-09	0.183	-6.094106	-1.113294	466.38	SLC44A1	solute carrier family 44 member 1
55006	6.10e-09	1.10e-09	0.364	6.093747	2.220016	19.94	TRMT61B	tRNA methyltransferase 61B
5023	6.10e-09	1.10e-09	0.241	-6.093771	-1.468343	1846.12	P2RX1	purinergic receptor P2X 1
105374010	6.22e-09	1.13e-09	0.436	6.090549	2.652449	10.09	LOC105374010	uncharacterized LOC105374010
4045	6.22e-09	1.13e-09	0.491	6.090533	2.988926	28.63	LSAMP	limbic system associated membrane protein
100887750	6.26e-09	1.13e-09	0.333	6.089368	2.024961	15.42	MRPS31P5	mitochondrial ribosomal protein S31 pseudogene 5
27106	6.28e-09	1.14e-09	0.371	6.08893	2.260427	21.45	ARRDC2	arrestin domain containing 2
113828	6.32e-09	1.14e-09	0.478	6.087841	2.909319	13.44	FAM83F	family with sequence similarity 83 member F
989	6.38e-09	1.16e-09	0.206	-6.086174	-1.255346	10708.5	SEPTIN7	septin 7
105371378	6.38e-09	1.16e-09	0.481	6.086149	2.926118	11.02	LOC105371378	uncharacterized LOC105371378
5537	6.43e-09	1.17e-09	0.173	-6.084928	-1.052486	608.66	PPP6C	protein phosphatase 6 catalytic subunit
114932	6.48e-09	1.18e-09	0.337	6.083577	2.053116	78.48	MRFAP1L1	Morf4 family associated protein 1 like 1
79925	6.53e-09	1.19e-09	0.387	6.082187	2.355996	27.95	SPEF2	sperm flagellar 2
79136	6.57e-09	1.19e-09	0.246	-6.081167	-1.498841	151.58	LY6G6E	lymphocyte antigen 6 family member G6E (pseudogene)
22914	6.58e-09	1.20e-09	0.311	6.080769	1.889272	62.89	KLRK1	killer cell lectin like receptor K1
1717	6.61e-09	1.20e-09	0.298	-6.080049	-1.81153	94.84	DHCR7	7-dehydrocholesterol reductase
105371744	6.70e-09	1.22e-09	0.256	-6.077841	-1.556184	54.7	LOC105371744	replaced by ID 105371745
6016	6.75e-09	1.23e-09	0.202	-6.076617	-1.230327	1525.64	RIT1	Ras like without CAAX 1
9191	6.82e-09	1.24e-09	0.222	-6.074879	-1.348648	1109.29	DEDD	death effector domain containing
107987401	6.82e-09	1.24e-09	0.418	6.074765	2.541054	45.02	LOC107987401	uncharacterized LOC107987401
64132	6.89e-09	1.26e-09	0.221	-6.073018	-1.34261	125.07	XYLT2	xylosyltransferase 2
102724334	6.91e-09	1.26e-09	0.242	-6.072537	-1.468076	242.47	LOC102724334	histone H2B type F-S-like
3837	6.94e-09	1.26e-09	0.133	6.071931	0.804541	173.29	KPNB1	karyopherin subunit beta 1
613037	6.96e-09	1.27e-09	0.213	6.071321	1.295587	27.69	NPIPB13	nuclear pore complex interacting protein family, member B13
4882	6.98e-09	1.27e-09	0.423	6.070785	2.565276	9.54	NPR2	natriuretic peptide receptor 2
196394	7.03e-09	1.28e-09	0.212	-6.069474	-1.28632	294.6	AMN1	antagonist of mitotic exit network 1 homolog
7852	7.09e-09	1.29e-09	0.351	6.068019	2.130836	88.07	CXCR4	C-X-C motif chemokine receptor 4
3987	7.12e-09	1.30e-09	0.216	-6.067483	-1.31167	47891.23	LIMS1	LIM zinc finger domain containing 1
378108	7.12e-09	1.30e-09	0.211	6.067328	1.2798	57.36	TRIM74	tripartite motif containing 74
56181	7.31e-09	1.34e-09	0.23	-6.062951	-1.397322	2382.74	MTFR1L	mitochondrial fission regulator 1 like
27230	7.37e-09	1.35e-09	0.205	-6.061584	-1.242794	766.97	SERP1	stress associated endoplasmic reticulum protein 1
84272	7.38e-09	1.35e-09	0.282	6.061378	1.710034	76.2	YIPF4	Yip1 domain family member 4
6314	7.48e-09	1.37e-09	0.214	6.05916	1.297671	66.3	ATXN7	ataxin 7
79905	7.48e-09	1.37e-09	0.452	6.058998	2.737537	22.05	TMC7	transmembrane channel like 7
9826	7.54e-09	1.38e-09	0.352	6.057802	2.135095	20.3	ARHGEF11	Rho guanine nucleotide exchange factor 11
107985783	7.57e-09	1.39e-09	0.492	6.056971	2.977389	22.9	LOC107985783	
55281	7.58e-09	1.39e-09	0.246	-6.05671	-1.490698	3620.11	TMEM140	transmembrane protein 140
57088	7.60e-09	1.39e-09	0.278	-6.05622	-1.686461	62.59	PLSCR4	phospholipid scramblase 4
253714	7.60e-09	1.39e-09	0.334	6.056226	2.024546	22.4	MMS22L	MMS22 like, DNA repair protein
25799	7.60e-09	1.40e-09	0.407	6.056022	2.467818	14.61	ZNF324	zinc finger protein 324
5393	7.61e-09	1.40e-09	0.303	6.055889	1.833798	36.36	EXOSC9	exosome component 9
51168	7.64e-09	1.40e-09	0.439	6.055131	2.659675	18	MYO15A	myosin XVA
100505715	7.67e-09	1.41e-09	0.404	6.054349	2.446162	9.59	LOC100505715	uncharacterized LOC100505715
9881	7.69e-09	1.41e-09	0.295	6.054032	1.788686	70.02	TRANK1	tetratricopeptide repeat and ankyrin repeat containing 1
7803	7.70e-09	1.41e-09	0.221	-6.053776	-1.338318	906.85	PTP4A1	protein tyrosine phosphatase 4A1
3139	7.79e-09	1.43e-09	0.324	-6.051707	-1.963295	229.08	HLA-L	major histocompatibility complex, class I, L (pseudogene)
126526	7.80e-09	1.43e-09	0.36	6.051574	2.175683	31.16	C19orf47	chromosome 19 open reading frame 47
754	7.86e-09	1.45e-09	0.223	-6.05021	-1.351844	1728.5	PTTG1IP	PTTG1 interacting protein
4676	7.89e-09	1.45e-09	0.181	-6.049579	-1.09237	598.04	NAP1L4	nucleosome assembly protein 1 like 4
4217	7.90e-09	1.46e-09	0.18	-6.049261	-1.089537	357.79	MAP3K5	mitogen-activated protein kinase kinase kinase 5
54069	8.00e-09	1.47e-09	0.334	6.047127	2.019343	19.04	MIS18A	MIS18 kinetochore protein A
113218477	8.00e-09	1.48e-09	0.31	6.047024	1.875798	14.12	TIMM23B-AGAP6	TIMM23B-AGAP6 readthrough (NMD candidate)
78996	8.03e-09	1.48e-09	0.236	-6.046427	-1.425117	3765.3	CYREN	cell cycle regulator of NHEJ
55722	8.12e-09	1.50e-09	0.376	6.044468	2.269832	11.12	CEP72	centrosomal protein 72
9990	8.23e-09	1.52e-09	0.132	6.042283	0.799126	117.72	SLC12A6	solute carrier family 12 member 6
961	8.25e-09	1.52e-09	0.176	-6.041868	-1.06181	2403.12	CD47	CD47 molecule
10194	8.25e-09	1.52e-09	0.304	6.041769	1.836534	24.64	TSHZ1	teashirt zinc finger homeobox 1
441089	8.31e-09	1.54e-09	0.324	6.040466	1.960066	11.02	CRSP8P	mediator complex subunit 27 pseudogene
126017	8.35e-09	1.54e-09	0.389	6.039652	2.349775	33.11	ZNF813	zinc finger protein 813
84899	8.36e-09	1.55e-09	0.397	6.039466	2.399898	16.39	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4
100134713	8.44e-09	1.56e-09	0.189	6.037891	1.143259	16.13	NDUFB2-AS1	NDUFB2 antisense RNA 1
119	8.50e-09	1.57e-09	0.363	6.036726	2.190622	21.08	ADD2	adducin 2
105373903	8.57e-09	1.59e-09	0.482	6.035249	2.906735	14.01	LOC105373903	uncharacterized LOC105373903
50848	8.57e-09	1.59e-09	0.24	-6.035107	-1.450993	3505.99	F11R	F11 receptor
7170	8.61e-09	1.60e-09	0.217	-6.034432	-1.309249	12689.57	TPM3	tropomyosin 3
57337	8.66e-09	1.60e-09	0.168	-6.033454	-1.016262	246.87	SENP7	SUMO specific peptidase 7
54802	8.72e-09	1.62e-09	0.359	6.032186	2.165219	22.14	TRIT1	tRNA isopentenyltransferase 1
2717	8.73e-09	1.62e-09	0.253	-6.031954	-1.524299	1912.68	GLA	galactosidase alpha
6638	8.73e-09	1.62e-09	0.252	-6.03185	-1.517948	2912.3	SNRPN	small nuclear ribonucleoprotein polypeptide N
4731	8.79e-09	1.63e-09	0.272	6.030666	1.642729	45.36	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3
2879	8.83e-09	1.64e-09	0.244	-6.029989	-1.470887	6939.02	GPX4	glutathione peroxidase 4
7316	8.90e-09	1.65e-09	0.214	-6.028576	-1.288242	7580.9	UBC	ubiquitin C
105372200	8.95e-09	1.66e-09	0.514	6.027618	3.09936	14.66	LOC105372200	uncharacterized LOC105372200
10962	8.98e-09	1.67e-09	0.273	-6.026968	-1.646624	562.2	MLLT11	MLLT11 transcription factor 7 cofactor
9753	9.07e-09	1.69e-09	0.367	6.025272	2.211656	19.23	ZSCAN12	zinc finger and SCAN domain containing 12
102723859	9.08e-09	1.69e-09	0.219	-6.025049	-1.3169	38.91	TBC1D3E	TBC1 domain family member 3E
51429	9.08e-09	1.69e-09	0.225	-6.024985	-1.353645	153.78	SNX9	sorting nexin 9
55316	9.29e-09	1.73e-09	0.424	6.02129	2.555155	19.8	RSAD1	radical S-adenosyl methionine domain containing 1
107987294	9.29e-09	1.73e-09	0.343	6.021144	2.062716	125.43	LOC107987294	
23080	9.43e-09	1.76e-09	0.311	6.018728	1.869403	43.37	AVL9	AVL9 cell migration associated
55332	9.49e-09	1.77e-09	0.201	-6.017563	-1.206668	70.92	DRAM1	DNA damage regulated autophagy modulator 1
170954	9.53e-09	1.78e-09	0.214	-6.016914	-1.285819	573.64	PPP1R18	protein phosphatase 1 regulatory subunit 18
9270	9.56e-09	1.78e-09	0.155	-6.016328	-0.934494	369.15	ITGB1BP1	integrin subunit beta 1 binding protein 1
1633	9.61e-09	1.79e-09	0.224	-6.015447	-1.349257	737.92	DCK	deoxycytidine kinase
9315	9.74e-09	1.82e-09	0.217	-6.0132	-1.303328	215.56	NREP	neuronal regeneration related protein
401494	9.81e-09	1.83e-09	0.232	-6.011957	-1.395463	3981.2	HACD4	3-hydroxyacyl-CoA dehydratase 4
51102	9.85e-09	1.84e-09	0.392	6.011179	2.3545	17.45	MECR	mitochondrial trans-2-enoyl-CoA reductase
102725021	9.92e-09	1.86e-09	0.35	6.010001	2.104537	15.65	ARHGAP11B-DT	ARHGAP11B divergent transcript
253260	9.95e-09	1.86e-09	0.255	6.009516	1.532187	117.52	RICTOR	RPTOR independent companion of MTOR complex 2
